127.0.0.1, 2019-07-06 17:36:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.771000
127.0.0.1, 2019-07-06 17:37:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.792000
127.0.0.1, 2019-07-06 17:37:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.228000
127.0.0.1, 2019-07-06 17:37:52, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.785000
127.0.0.1, 2019-07-06 17:37:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:37:55, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-37-50.4af6c7c2-a368-4735-abdb-7e59ecc95d1b, HTTP/1.1, 200, 0.556000
127.0.0.1, 2019-07-06 17:37:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:38:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.374000
127.0.0.1, 2019-07-06 17:38:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.708000
127.0.0.1, 2019-07-06 17:39:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.415000
127.0.0.1, 2019-07-06 17:39:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.776000
127.0.0.1, 2019-07-06 17:39:08, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.540000
127.0.0.1, 2019-07-06 17:39:08, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:39:10, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-39-06.362ea4dc-8f7a-486f-91e2-e671d2f473a2, HTTP/1.1, 200, 0.151000
127.0.0.1, 2019-07-06 17:39:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:40:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.614000
127.0.0.1, 2019-07-06 17:40:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.994000
127.0.0.1, 2019-07-06 17:40:06, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.627000
127.0.0.1, 2019-07-06 17:40:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:40:09, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-40-05.1fee3f6a-081a-46fa-b769-9739489b1c48, HTTP/1.1, 200, 0.513000
127.0.0.1, 2019-07-06 17:40:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:41:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.596000
127.0.0.1, 2019-07-06 17:41:02, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 1.944000
127.0.0.1, 2019-07-06 17:41:51, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.437000
127.0.0.1, 2019-07-06 17:41:52, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:41:55, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-41-50.256341c3-ae71-4ddb-b5fa-ddf24c89a53b, HTTP/1.1, 200, 0.463000
127.0.0.1, 2019-07-06 17:41:56, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:42:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.462000
127.0.0.1, 2019-07-06 17:42:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 2.863000
127.0.0.1, 2019-07-06 17:43:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.690000
